,stop_id,stop_code,stop_name,stop_desc,lat,lng,zone_id,node_id
74,4790,64790,BAYSHORE NASA STATION (1),,37.40432726,-122.049167,1,26511902
75,4817,64817,BAYSHORE NASA STATION (0),,37.404703,-122.049989,1,1657073169
76,4789,64789,MIDDLEFIELD STATION (1),,37.39606973,-122.0519595,1,65571185
77,4818,64818,MIDDLEFIELD STATION (0),,37.39542816,-122.0522099,1,2161611048
78,4786,64786,MOUNTAIN VIEW STATION (1),,37.39528324,-122.0775962,1,2471274184
79,4821,64821,MOUNTAIN VIEW STATION (0),,37.3949515,-122.0767886,1,655309646
80,4801,64801,BAYPOINTE STATION (0),,37.41087684,-121.9415234,1,1353408390
81,4806,64806,BAYPOINTE STATION (1),,37.41053128,-121.9423169,1,519663872
82,4788,64788,WHISMAN STATION (1),,37.39220467,-122.0582203,1,1071641083
83,4819,64819,WHISMAN STATION (0),,37.39177263,-122.059,1,2161547839
84,4802,64802,CISCO STATION (0),,37.41234825,-121.92831159999999,1,2425781197
85,4803,64803,I-880 STATION (0),,37.41357159,-121.9171179,1,2427425056
86,4804,64804,I-880 STATION (1),,37.41312935,-121.91770009999999,1,2427424261
87,4805,64805,CISCO STATION (1),,37.41265891,-121.9290511,1,1353394560
88,5023,65023,MOFFETT PARK STATION (1),,37.40236702,-122.03345990000001,1,212649759
89,5024,65024,MOFFETT PARK STATION (0),,37.4024394,-122.034331,1,699195182
90,5235,65235,GREAT MALL STATION (0),,37.41392531,-121.9014343,1,378379586
91,5250,65250,GREAT MALL STATION (1),,37.41438968,-121.9021233,1,65442157
92,5236,65236,MONTAGUE STATION (0),,37.40854922,-121.89061809999998,1,65623468
93,5249,65249,MONTAGUE STATION (1),,37.40894503,-121.89136529999999,1,2867749550
94,5237,65237,CROPLEY STATION (0),,37.40264405,-121.8810686,1,65451233
95,5248,65248,CROPLEY STATION (1),,37.40400581,-121.8830769,1,65451235
96,5238,65238,HOSTETTER STATION (0),,37.39564878,-121.8702896,1,65451200
97,5247,65247,HOSTETTER STATION (1),,37.39511599,-121.8696291,1,311916014
98,5239,65239,BERRYESSA STATION (0),,37.38738595,-121.8614771,1,2406645959
99,5246,65246,BERRYESSA STATION (1),,37.38908538,-121.8631128,1,65451174
100,5240,65240,PENITENCIA CREEK STATION (0),,37.38095849,-121.8544173,1,311920421
101,5245,65245,PENITENCIA CREEK STATION (1),,37.382025,-121.8554,1,313258526
102,5241,65241,MCKEE STATION (0),,37.37105676,-121.8440364,1,2874627272
103,5244,65244,MCKEE STATION (1),,37.37264794,-121.845477,1,65603685
104,5242,65242,ALUM ROCK STATION (0),,37.35813414,-121.8321204,1,311929792
105,5813,65813,Alum Rock Station Storage Track,,37.358135,-121.832121,1,311929792
106,5243,65243,ALUM ROCK STATION (1),,37.358369,-121.83223899999999,1,311930366
107,5381,65381,DIRIDON STATION (1),,37.328296,-121.90358799999998,1,530430187
108,5374,65374,DIRIDON STATION (0),,37.32894718,-121.9035113,1,312382885
109,5382,65382,RACE STATION (1),,37.31715496,-121.9107529,1,2494527820
110,5375,65375,RACE STATION (0),,37.31756735,-121.91031370000002,1,2494527823
111,5383,65383,FRUITDALE STATION (1),,37.31012168,-121.9184828,1,2861154407
112,5376,65376,FRUITDALE STATION (0),,37.31048176,-121.9180169,1,1119662294
113,5384,65384,BASCOM STATION (1),,37.29946665,-121.9303042,1,1020651964
114,5377,65377,BASCOM STATION (0),,37.29985056,-121.9298301,1,1020651954
115,5385,65385,HAMILTON STATION (1),,37.29369104,-121.9365764,1,312387697
116,5378,65378,HAMILTON STATION (0),,37.29406405,-121.93616680000001,1,2346851874
117,5386,65386,CAMPBELL STATION (1),,37.28548307,-121.94339540000001,1,65439000
118,5379,65379,CAMPBELL STATION (0),,37.28589993,-121.9430274,1,65478969
119,5387,65387,WINCHESTER STATION (1),,37.27917796,-121.94830659999998,1,65567759
120,5380,65380,WINCHESTER STATION (0),,37.27960951,-121.94790649999999,1,65638769
121,5389,65389,SAN FERNANDO STATION (1),,37.33024849,-121.8990446,1,65615512
122,5388,65388,SAN FERNANDO STATION (0),,37.33036666,-121.8981163,1,286891946
123,1564,61564,Arboretum & Sand Hill,,37.44055681,-122.17363870000001,1,427492524
124,1565,61565,Sand Hill & Stanford Shopping Center,,37.44344979,-122.17356869999999,1,135404839
125,5058,65058,Quarry & Palo,,37.44207506,-122.1694862,1,1250338003
126,327,60327,El Camino and Stanford Shopping Center,,37.44409814,-122.1683765,1,541336424
127,4836,64836,Palo Alto Transit Center (Bay 5),,37.44424968,-122.16679199999999,1,541336423
128,1563,61563,Palo Alto Transit Center (Bay 4),,37.44414707,-122.1666314,1,541336421
129,519,60519,Palo Alto Transit Center (Bay 1),,37.44377183,-122.16603390000002,1,541336419
130,328,60328,Palo Alto Transit Center (Bay 10),,37.44375005,-122.16576270000002,1,65441446
131,516,60516,El Camino & Sam McDonald,,37.43469294,-122.1568658,1,522381961
132,331,60331,El Camino & Sam McDonald,,37.434625,-122.157257,1,65518519
133,515,60515,El Camino & Churchill,,37.43292433,-122.15489620000001,1,2402038632
134,332,60332,El Camino & Churchill,,37.43222651,-122.1545645,1,2050243252
135,517,60517,El Camino & Embarcadero,,37.43774122,-122.16035819999999,1,978056739
136,330,60330,El Camino & Galvez,,37.4368612,-122.15982109999999,1,1819712513
137,518,60518,El Camino & Wells,,37.43995820000001,-122.1628649,1,1083755047
138,329,60329,El Camino & Palm,,37.43911254,-122.1623942,1,462480472
139,1560,61560,Hamilton & Waverly,,37.44612363,-122.15941940000002,1,872472607
140,1561,61561,Hamilton & Ramona,,37.44471504,-122.16085759999999,1,410410033
141,1569,61569,Waverly & Hamilton,,37.44612167,-122.15896299999999,1,65652610
142,1568,61568,Hamilton & Ramona,,37.44463647,-122.1607242,1,410410033
143,1562,61562,Hamilton & High,,37.44318754,-122.16232040000001,1,1256474428
144,1559,61559,Waverly & Homer,,37.44492214,-122.1568587,1,1466250930
145,1570,61570,Waverly & Homer,,37.44458478,-122.1564966,1,1466250882
146,4435,64435,Deer Creek & Arastradero,,37.39384418,-122.1486947,1,1296869031
147,4450,64450,Deer Creek & Arastradero,,37.39407728,-122.1486636,1,1296869103
148,4449,64449,Arastradero & Hillview,,37.39352748,-122.14602009999999,1,65457722
149,4436,64436,Arastradero & Thendara,,37.39346774,-122.1459001,1,1296869051
150,4451,64451,Deer Creek & Mid Arastradero,,37.39527533,-122.1495426,1,706920940
151,4434,64434,Deer Creek & Mid Deer Creek,,37.39545062,-122.1499906,1,706920939
152,4385,64385,Hillview & Coyote Hill,,37.40130966,-122.1453666,1,1318323495
153,4347,64347,Hillview & Watkins-Johnson,,37.40811305,-122.1454735,1,704976108
154,4429,64429,Hillview & Porter,,37.40710507,-122.1453604,1,258392675
155,4346,64346,Hillview & Miranda,,37.40643862,-122.1453415,1,65447911
156,4345,64345,Hillview & Miranda,,37.40505851,-122.145642,1,704976112
157,4384,64384,Miranda & Hillview,,37.40442213,-122.14535490000002,1,65388513
158,4344,64344,Hillview & Coyote Hill,,37.40223003,-122.14554479999998,1,522271894
159,4427,64427,Hanover & Hewlett-Packard,,37.41101777,-122.1456477,1,1750865944
160,4349,64349,Hanover & Hillview,,37.41070366,-122.14575459999999,1,258392738
161,4348,64348,Hanover & Hillview,,37.40926734,-122.14692990000002,1,65447909
162,4428,64428,Hillview & Porter,,37.40866259,-122.1465926,1,258392671
163,4421,64421,California & Princeton,,37.42119905,-122.1491464,1,2019517025
164,4354,64354,California & Oberlin,,37.42083424,-122.14930109999999,1,1765758696
165,4353,64353,California & Hanover,,37.419471,-122.1504404,1,1765758694
166,4422,64422,Hanover & California,,37.4190692,-122.1506025,1,1765758693
167,4352,64352,Hanover & Page Mill,,37.41752939,-122.1474581,1,301503404
168,4437,64437,Page Mill & Hanover,,37.41752321,-122.1464889,1,65560369
169,4423,64423,Hanover & Page Mill,,37.41749865,-122.1476625,1,1482049301
170,4424,64424,Hanover & Page Mill,,37.41677888,-122.1463436,1,65560369
171,513,60513,El Camino & Stanford,,37.42806108,-122.149322,1,811010316
172,334,60334,El Camino & Oxford,,37.426745,-122.14829920000001,1,1420651675
173,512,60512,El Camino & California,,37.42535423,-122.14610729999998,1,2395582714
174,4419,64419,California & El Camino,,37.42429421,-122.1465805,1,884850764
175,335,60335,El Camino & California,,37.42478741,-122.145651,1,2395582713
176,4420,64420,California & Wellsley,,37.42262109,-122.147962,1,1765758699
177,4355,64355,California & Wellsley,,37.4226608,-122.14777759999998,1,65449476
178,514,60514,El Camino & Park,,37.43025788,-122.1518086,1,191689124
179,333,60333,El Camino & Serra,,37.42959035,-122.15152509999999,1,65446354
180,1557,61557,Middlefield & Channing,,37.44775857,-122.1519916,1,1682261494
181,1556,61556,Middlefield & Addison,,37.44694794,-122.15071599999999,1,65495698
182,1572,61572,Middlefield & Addison,,37.44665261,-122.1504415,1,65495698
183,1555,61555,Middlefield & Kingsley,,37.44538326,-122.1482248,1,65495707
184,1573,61573,Middlefield & Kingsley,,37.44506139,-122.1479132,1,1468835748
185,1554,61554,Middlefield & Melville,,37.44458492,-122.1469673,1,2508688052
186,1574,61574,Middlefield & Melville,,37.44427433,-122.14667079999998,1,462493769
187,1558,61558,Homer & Webster,,37.44699712,-122.1544812,1,65523364
188,1571,61571,Channing & Webster,,37.44658412,-122.1527267,1,1466251002
189,4337,64337,Miranda & Arastradero,,37.40051169,-122.1377472,1,297698024
190,4339,64339,Miranda & Hospital Driveway,,37.40006486,-122.1371354,1,65583015
191,4343,64343,Hillview & Arastradero,,37.39893764,-122.1443935,1,2438071036
192,4386,64386,Hillview & Coyote Hill,,37.398646,-122.144451,1,2438071036
193,4387,64387,Hillview & Arastradero,,37.39535773,-122.1435077,1,704976087
194,4342,64342,Hillview & Arastradero,,37.39502229,-122.1432811,1,706922724
195,4341,64341,Arastradero & Old Adobe,,37.39559883,-122.14129309999998,1,1322692839
196,4388,64388,Arastradero & Old Adobe,,37.39583953,-122.14059979999999,1,1323359004
197,4338,64338,Palo Alto Veterans Hospital,,37.40388733,-122.1413772,1,704977390
198,4351,64351,Hanover & Curve,,37.41542245,-122.14333559999999,1,80652575
199,4425,64425,Hanover & Curve,,37.41546481,-122.14366609999999,1,80652575
200,4350,64350,Hanover & Curve,,37.41348711,-122.14345759999999,1,315992213
201,4426,64426,Hanover & Curve,,37.41267493,-122.144287,1,1750865944
202,4447,64447,Page Mill & Ramos,,37.42105159,-122.1439054,1,2541195546
203,4439,64439,Page Mill & Ramos,,37.42082927,-122.1437484,1,2584533776
204,510,60510,El Camino & Portage,,37.42116633,-122.1381218,1,206351337
205,337,60337,El Camino & Hansen,,37.42057032,-122.13760320000002,1,744465735
206,4440,64440,Hansen & El Camino,,37.41991039,-122.13891640000001,1,1801248525
207,4438,64438,Page Mill & Hansen,,37.41916505,-122.14513229999999,1,65425050
208,4442,64442,Hansen & Page Mill,,37.41870034,-122.1451625,1,65425050
209,4441,64441,Hansen & Curve,,37.41750939,-122.1428984,1,65425044
210,4444,64444,Hansen & Page Mill,,37.41739563,-122.1429269,1,65425044
211,4445,64445,Hansen & Curve,,37.41970416,-122.1389421,1,1801248508
212,4443,64443,Hansen & Page Mill,,37.41855869,-122.1451061,1,65425050
213,4358,64358,California & Birch,,37.42753407,-122.1437142,1,1432376624
214,4417,64417,California & Birch,,37.42727485,-122.14415120000001,1,2395582719
215,4418,64418,California & Ash,,37.42667733,-122.1445986,1,1736871344
216,4356,64356,California & El Camino,,37.42539903,-122.14545659999999,1,1945533510
217,511,60511,El Camino & Page Mill,,37.4234305,-122.14236670000001,1,653947066
218,4458,64458,Page Mill & El Camino,,37.42328555,-122.1416563,1,1758102653
219,4446,64446,Page Mill & El Camino,,37.42253871,-122.1426616,1,65405149
220,336,60336,El Camino & Page Mill,,37.42258251,-122.1414758,1,65405147
221,4958,64958,California Avenue Caltrain,,37.4290642,-122.1421765,1,65446380
222,1553,61553,Middlefield & Embarcadero,,37.44248882,-122.14365159999998,1,2050228512
223,1575,61575,Middlefield & Embarcadero,,37.44182083,-122.1427811,1,2050228499
224,1552,61552,Middlefield & Seale,,37.43992603,-122.1395391,1,1326951145
225,1576,61576,Middlefield & Seale,,37.43960156,-122.13926459999999,1,1326951152
226,5634,65634,Foothill College Loop at Transit Center,,37.359632,-122.126915,1,1307521617
227,538,60538,Foothill College Loop at Planetarium,,37.36140853,-122.1309379,1,360465677
228,4336,64336,Miranda & Arastradero,,37.39955289,-122.134527,1,65583020
